date,net_pnl,transaction_cost,portfolio_value,invested_weight,cash_weight,gross_exposure,stop_active,in_regime,n_long,n_short,daily_return
2017-07-19,588.7610361680814,2.8328125672545954,104768.78153573675,1.4095497298437292,0.0,1.4095497298437292,False,True,4,0,0.0056513814582184185
2017-07-20,189.80273280642106,0.09047944373906262,104958.58426854317,1.4086861191152966,0.0,1.4086861191152966,False,True,4,0,0.0018116344394218942
2017-07-21,-40.96477527598988,0.43643788216535,104917.61949326718,1.4119913448997372,0.0,1.4119913448997372,False,True,4,0,-0.0003902946629994464
2017-07-24,-321.18694748472484,0.3132438014953276,104596.43254578246,1.4139017674237775,0.0,1.4139017674237775,False,True,4,0,-0.0030613251524004292
2017-07-25,-305.89077911011856,3.8721602294992414,104290.54176667234,1.3956288262167509,0.0,1.3956288262167509,False,True,4,0,-0.002924485775136043
2017-07-26,491.3847254985273,1.6539619418002216,104781.92649217087,1.399137723791252,0.0,1.399137723791252,False,True,4,0,0.004711690218254905
2017-07-27,-271.4324590169488,2.941283183254977,104510.49403315393,1.3710672036002078,0.0,1.3710672036002078,False,True,4,0,-0.0025904511217134107
2017-07-28,102.34267021324878,5.707407896660192,104612.83670336717,1.316456344188811,0.0,1.316456344188811,False,True,4,0,0.0009792573574551877
2017-07-31,138.67017864861515,0.11611022952966865,104751.50688201578,1.3175662484146078,0.0,1.3175662484146078,False,True,4,0,0.0013255560504663588
2017-08-01,159.14983447278036,109.32222860515695,104910.65671648855,1.3554488832672733,0.0,1.3554488832672733,False,True,5,0,0.0015193083060087709
2017-08-02,-125.60910629146348,3.0039980570785216,104785.04761019709,1.368473330124424,0.0,1.368473330124424,False,True,5,0,-0.0011972959680436324
2017-08-03,-68.53038373747899,10.8978843863869,104716.5172264596,1.427861943994974,0.0,1.427861943994974,False,True,5,0,-0.0006540091864291053
2017-08-04,98.29173287880509,1.88064620636949,104814.8089593384,1.4245430996933046,0.0,1.4245430996933046,False,True,5,0,0.0009386459317228812
2017-08-07,120.34995157066332,2.273963501987733,104935.15891090907,1.433874202097745,0.0,1.433874202097745,False,True,5,0,0.001148215149801457
2017-08-08,-381.89166391021024,3.6349770168356477,104553.26724699886,1.4228886323333363,0.0,1.4228886323333363,False,True,5,0,-0.003639310864668732
2017-08-09,30.624466719502166,2.2734377785520445,104583.89171371836,1.4016383260023264,0.0,1.4016383260023264,False,True,5,0,0.0002929077926101531
2017-08-10,-1149.3159888748519,17.2804067404155,103434.57572484351,1.3691010401144323,0.0,1.3691010401144323,False,True,5,0,-0.010989416917290828
